FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 27
2018-01-01,UA,2391,SLC,EWR,1318,1314.0,-4.0,10.0,1324.0,1905.0,7.0,1931,1912.0,-19.0,0.0,0.0,0.0,253.0,238.0,221.0,1969.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2390,MCO,SFO,852,854.0,2.0,10.0,904.0,1142.0,4.0,1203,1146.0,-17.0,0.0,0.0,0.0,371.0,352.0,338.0,2446.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2389,MSY,IAD,1758,1751.0,-7.0,13.0,1804.0,2056.0,3.0,2120,2059.0,-21.0,0.0,0.0,0.0,142.0,128.0,112.0,955.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2388,DEN,RIC,950,948.0,-2.0,13.0,1001.0,1454.0,6.0,1516,1500.0,-16.0,0.0,0.0,0.0,206.0,192.0,173.0,1482.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2386,ORD,RSW,1350,1348.0,-2.0,23.0,1411.0,1733.0,4.0,1746,1737.0,-9.0,0.0,0.0,0.0,176.0,169.0,142.0,1120.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2386,RDU,ORD,955,951.0,-4.0,14.0,1005.0,1055.0,3.0,1115,1058.0,-17.0,0.0,0.0,0.0,140.0,127.0,110.0,646.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2385,DEN,ORD,915,909.0,-6.0,12.0,921.0,1216.0,19.0,1242,1235.0,-7.0,0.0,0.0,0.0,147.0,146.0,115.0,888.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2384,EWR,FLL,1627,1624.0,-3.0,38.0,1702.0,1938.0,6.0,1938,1944.0,6.0,0.0,0.0,0.0,191.0,200.0,156.0,1065.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2381,MIA,ORD,729,727.0,-2.0,14.0,741.0,925.0,11.0,950,936.0,-14.0,0.0,0.0,0.0,201.0,189.0,164.0,1197.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2381,ORD,SAN,1215,1213.0,-2.0,18.0,1231.0,1421.0,1.0,1441,1422.0,-19.0,0.0,0.0,0.0,266.0,249.0,230.0,1723.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2380,FLL,EWR,2025,2029.0,4.0,13.0,2042.0,2301.0,5.0,2325,2306.0,-19.0,0.0,0.0,0.0,180.0,157.0,139.0,1065.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2173,IAD,DEN,2217,2235.0,18.0,14.0,2249.0,3.0,5.0,14,8.0,-6.0,0.0,0.0,0.0,237.0,213.0,194.0,1452.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2172,EWR,IAH,1959,2000.0,1.0,22.0,2022.0,2248.0,5.0,2308,2253.0,-15.0,0.0,0.0,0.0,249.0,233.0,206.0,1400.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2171,DFW,IAD,1710,1703.0,-7.0,18.0,1721.0,2034.0,7.0,2057,2041.0,-16.0,0.0,0.0,0.0,167.0,158.0,133.0,1172.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2170,DEN,SLC,2220,2216.0,-4.0,24.0,2240.0,2345.0,3.0,2356,2348.0,-8.0,0.0,0.0,0.0,96.0,92.0,65.0,391.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2169,DEN,PDX,2220,2216.0,-4.0,11.0,2227.0,2356.0,5.0,12,1.0,-11.0,0.0,0.0,0.0,172.0,165.0,149.0,991.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2168,DEN,ICT,2018,2017.0,-1.0,13.0,2030.0,2221.0,4.0,2242,2225.0,-17.0,0.0,0.0,0.0,84.0,68.0,51.0,420.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2167,DEN,EWR,2025,2022.0,-3.0,11.0,2033.0,135.0,6.0,202,141.0,-21.0,0.0,0.0,0.0,217.0,199.0,182.0,1605.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2166,ANC,DEN,2340,2336.0,-4.0,13.0,2349.0,623.0,6.0,658,629.0,-29.0,0.0,0.0,0.0,318.0,293.0,274.0,2405.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2165,MSP,ORD,500,502.0,2.0,13.0,515.0,611.0,12.0,634,623.0,-11.0,0.0,0.0,0.0,94.0,81.0,56.0,334.0,0.0,0.0,0.0,0.0,0.0,
